,Unnamed: 0,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Cluster,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8
0,1,Grimey,TroyBoi,67bRcGquJWIw6q927Yocht,spotify:track:67bRcGquJWIw6q927Yocht,3.23,34,0.883,0.406,2,-6.07,0.301,0.0307,0.547,0.057,0.534,140.07,3,-0.06470249210793781,0.611019485908095,0.43569146021040206,-2.9696760120237307,0.0035358770073223716,0.9244943755132761,1.510125800813849,1.914407000925708
1,2,Made In China,Higher Brothers,1qowUCis8gYY9KOMuy8fCi,spotify:track:1qowUCis8gYY9KOMuy8fCi,2.86,45,0.79,0.779,1,-2.642,0.0416,0.00397,0.000155,0.159,0.228,150.115,7,-2.0854651511296614,-1.1154357650622677,-0.7922256494835582,-1.2056092308163548,-0.9708838022379075,-0.27331486726526655,-0.2838429749243841,0.14538813555427127
2,3,FIGHT,Tokyo Machine,7kvm95wpVPUHVEptmsdls6,spotify:track:7kvm95wpVPUHVEptmsdls6,3.59,39,0.746,0.751,2,-5.093,0.0537,0.00349,0.76,0.0496,0.712,128.029,3,-1.3671816447086729,-1.1835717293798336,-0.22711568359215026,-3.1633538973871804,0.759957907964216,1.2438216178947579,3.0503350140524557,2.2106500264922513
3,4,Everything Black,Unlike Pluto,3UEnF6y5tyHVtMzldS3svp,spotify:track:3UEnF6y5tyHVtMzldS3svp,3.82,74,0.62,0.864,5,-4.334,0.114,0.0323,0.0,0.117,0.395,98.059,2,-1.946936961237928,-0.8075798052679894,-1.5389783931435448,-0.009065787468388896,0.34300368678420395,-0.32156393291401686,-0.21139687985782415,-0.00805329412938112
4,5,Solo,Prismo,5aWooiRZSWS0P4I5dzLkUJ,spotify:track:5aWooiRZSWS0P4I5dzLkUJ,3.06,0,0.442,0.846,10,-4.11,0.107,0.000352,0.0106,0.376,0.506,179.936,7,-2.2846168796516686,-1.6984396398159076,0.9356948907152033,0.25263983356392916,0.2060709611487302,1.4815207597278832,-2.111356053370707,1.65401644632538
5,6,Worst in Me,Unlike Pluto,5fxTqRkibJsbCD1FSz8U8X,spotify:track:5fxTqRkibJsbCD1FSz8U8X,3.3,37,0.675,0.67,9,-6.476,0.0472,0.0511,0.000635,0.0759,0.477,88.026,2,-0.8945418890980975,-0.32726578081887536,-1.5191544941259936,-0.632907759345346,1.7183593788217502,0.03207564480499909,-0.7051030555626511,0.011661517434327978
6,7,Electric Church,Mike Taylor,185fu7IsLEY43NFu31pKZr,spotify:track:185fu7IsLEY43NFu31pKZr,4.29,34,0.76,0.848,10,-3.769,0.0719,0.00681,0.000114,0.128,0.782,116.978,2,-2.6163039391777643,0.43841215336437483,-1.3287388543402552,-0.6861866535107293,1.352482592255745,0.8738367014062087,-0.6751636709575473,0.5972231228548605
7,8,Thief,Ansel Elgort,3BtA1koBtnClfirgg4BpjI,spotify:track:3BtA1koBtnClfirgg4BpjI,3.68,55,0.592,0.741,1,-3.792,0.0842,0.0251,0.0,0.111,0.379,180.038,7,-1.7985836512112758,-1.419350246220178,-0.7528311520690802,-1.0249473835567455,-1.9835369657117135,0.511305913837797,-0.737042425739022,0.5007647580220536
8,9,Killing Giants,Puppet,5naMU1EbiukINCYPccBFZ5,spotify:track:5naMU1EbiukINCYPccBFZ5,4.03,43,0.395,0.941,4,-4.529,0.0713,0.199,0.00119,0.348,0.405,179.965,7,-2.060376087508903,-2.315220942461295,0.024182759842802576,0.6036069358065184,-1.373184370209978,0.7139060477824056,-1.21617751241064,1.5451868891792313
9,10,Echo (feat. Jonathan Mendelsohn),Hardwell,4QxJKYYSpq6CViKUZ6KL4L,spotify:track:4QxJKYYSpq6CViKUZ6KL4L,5.15,13,0.625,0.937,1,-4.194,0.0433,0.00176,0.228,0.117,0.0975,129.985,7,-1.7253699031415348,-2.4567814463834554,0.270059816091968,-1.9430900796120365,0.07312628378974734,-0.6300483919855747,0.017651574496205788,0.47191249538768165
