,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Grimey,TroyBoi,67bRcGquJWIw6q927Yocht,spotify:track:67bRcGquJWIw6q927Yocht,3.23,34,0.883,0.406,2,-6.07,0.301,0.0307,0.547,0.057,0.534,140.07
2,Made In China,Higher Brothers,1qowUCis8gYY9KOMuy8fCi,spotify:track:1qowUCis8gYY9KOMuy8fCi,2.86,45,0.79,0.779,1,-2.642,0.0416,0.00397,0.000155,0.159,0.228,150.115
3,FIGHT,Tokyo Machine,7kvm95wpVPUHVEptmsdls6,spotify:track:7kvm95wpVPUHVEptmsdls6,3.59,39,0.746,0.751,2,-5.093,0.0537,0.00349,0.76,0.0496,0.712,128.029
4,Everything Black,Unlike Pluto,3UEnF6y5tyHVtMzldS3svp,spotify:track:3UEnF6y5tyHVtMzldS3svp,3.82,74,0.62,0.864,5,-4.334,0.114,0.0323,0.0,0.117,0.395,98.059
5,Solo,Prismo,5aWooiRZSWS0P4I5dzLkUJ,spotify:track:5aWooiRZSWS0P4I5dzLkUJ,3.06,0,0.442,0.846,10,-4.11,0.107,0.000352,0.0106,0.376,0.506,179.936
6,Worst in Me,Unlike Pluto,5fxTqRkibJsbCD1FSz8U8X,spotify:track:5fxTqRkibJsbCD1FSz8U8X,3.3,37,0.675,0.67,9,-6.476,0.0472,0.0511,0.000635,0.0759,0.477,88.026
7,Electric Church,Mike Taylor,185fu7IsLEY43NFu31pKZr,spotify:track:185fu7IsLEY43NFu31pKZr,4.29,34,0.76,0.848,10,-3.769,0.0719,0.00681,0.000114,0.128,0.782,116.978
8,Thief,Ansel Elgort,3BtA1koBtnClfirgg4BpjI,spotify:track:3BtA1koBtnClfirgg4BpjI,3.68,55,0.592,0.741,1,-3.792,0.0842,0.0251,0.0,0.111,0.379,180.038
9,Killing Giants,Puppet,5naMU1EbiukINCYPccBFZ5,spotify:track:5naMU1EbiukINCYPccBFZ5,4.03,43,0.395,0.941,4,-4.529,0.0713,0.199,0.00119,0.348,0.405,179.965
10,Echo (feat. Jonathan Mendelsohn),Hardwell,4QxJKYYSpq6CViKUZ6KL4L,spotify:track:4QxJKYYSpq6CViKUZ6KL4L,5.15,13,0.625,0.937,1,-4.194,0.0433,0.00176,0.228,0.117,0.0975,129.985
11,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,7jzldCBnJjpJM3epzJ85KE,spotify:track:7jzldCBnJjpJM3epzJ85KE,3.1,61,0.628,0.821,1,-2.721,0.0525,0.0208,0.0,0.426,0.465,93.001
12,What I've Waited For,Vicetone,5k3WiFcuOQ8htHIh5QnMT5,spotify:track:5k3WiFcuOQ8htHIh5QnMT5,3.7,47,0.533,0.78,2,-3.299,0.0487,0.0143,1.4e-06,0.303,0.343,127.95
13,The Girl,Hellberg,4wWe3qI7pyxkNVVA3XTYoN,spotify:track:4wWe3qI7pyxkNVVA3XTYoN,4.43,51,0.49,0.72,9,-3.797,0.0351,0.0691,0.0,0.121,0.428,125.993
14,Burn the House Down,AJR,2HaYSyjZmqhFVviYOakAth,spotify:track:2HaYSyjZmqhFVviYOakAth,3.54,0,0.454,0.66,0,-4.357,0.168,0.0364,0.0,0.181,0.568,184.353
15,I'm Ready,AJR,2dgFqylK6gyILa4HY65u0y,spotify:track:2dgFqylK6gyILa4HY65u0y,3.79,63,0.628,0.867,9,-3.555,0.0913,0.0108,0.0,0.308,0.597,78.043
16,I Apologize,Five Finger Death Punch,1hntQPOGfiSztG0cASWRoX,spotify:track:1hntQPOGfiSztG0cASWRoX,4.05,0,0.505,0.929,9,-4.69,0.0529,0.00068,0.0,0.167,0.419,77.991
17,Indestructible,Disturbed,42ZVk59gT4tMlrZmd8Ijxf,spotify:track:42ZVk59gT4tMlrZmd8Ijxf,4.63,70,0.429,0.966,8,-4.605,0.0733,0.000209,0.124,0.371,0.525,179.956
18,In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,3.61,86,0.556,0.864,3,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143
19,Hail to the King,Avenged Sevenfold,5anCkDvJ17aznvK5TED5uo,spotify:track:5anCkDvJ17aznvK5TED5uo,5.1,77,0.58,0.916,3,-4.358,0.0387,0.000297,0.0259,0.126,0.683,118.004
20,Invincible,Adelitas Way,4FthwGFz9SVZgCVqxNXsSK,spotify:track:4FthwGFz9SVZgCVqxNXsSK,3.17,64,0.405,0.962,11,-4.894,0.0842,0.000213,2.31e-06,0.108,0.489,170.023
21,Nightmare,Avenged Sevenfold,4UEo1b0wWrtHMC8bVqPiH8,spotify:track:4UEo1b0wWrtHMC8bVqPiH8,6.24,72,0.554,0.949,2,-4.928,0.0787,0.000318,9.98e-05,0.2,0.233,129.984
22,Shepherd of Fire,Avenged Sevenfold,1fQaoh3imrMunWVZh5kf90,spotify:track:1fQaoh3imrMunWVZh5kf90,5.4,70,0.576,0.906,2,-7.677,0.0571,0.000332,0.0614,0.0908,0.211,127.935
23,Afterlife,Avenged Sevenfold,7zAt4tdL44D3VuzsvM0N8n,spotify:track:7zAt4tdL44D3VuzsvM0N8n,5.87,71,0.487,0.949,2,-4.217,0.0798,0.000429,2.91e-05,0.231,0.406,110.02
24,Alone In A Room,Asking Alexandria,0hAIs32U2SmJcXymlcyF8h,spotify:track:0hAIs32U2SmJcXymlcyF8h,4.1,64,0.482,0.946,4,-3.23,0.0852,0.00251,0.0,0.0466,0.284,135.071
25,Hopelessly Hopeful,Asking Alexandria,1jDrYPoiTVcWNybb2kySD0,spotify:track:1jDrYPoiTVcWNybb2kySD0,3.22,48,0.468,0.961,0,-2.211,0.107,0.0136,0.0,0.0502,0.37,135.103
26,When The Lights Come On,Asking Alexandria,2lWN4CNYwjFiakaTuawzzb,spotify:track:2lWN4CNYwjFiakaTuawzzb,3.39,47,0.493,0.951,2,-3.448,0.0779,0.00184,0.0,0.279,0.298,155.071
27,What It Takes,Adelitas Way,5f7CQQlWscLYxkdzaKWx5Q,spotify:track:5f7CQQlWscLYxkdzaKWx5Q,3.15,38,0.516,0.877,8,-4.358,0.0755,0.00144,0.0,0.094,0.625,174.173
28,Through The Fire And Flames,DragonForce,1iTb2vi8Bls7QY6CKL2gj2,spotify:track:1iTb2vi8Bls7QY6CKL2gj2,7.32,54,0.111,0.952,0,-4.864,0.131,0.00163,0.00645,0.345,0.126,200.074
29,Remember the Name (feat. Styles of Beyond),Fort Minor,6ndmKwWqMozN2tcZqzCX4K,spotify:track:6ndmKwWqMozN2tcZqzCX4K,3.84,74,0.688,0.835,8,-4.162,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858
30,Notorious,Adelitas Way,5PZo9NMyNLxOlpEFoYo611,spotify:track:5PZo9NMyNLxOlpEFoYo611,2.84,59,0.53,0.967,0,-2.108,0.0657,0.000507,0.205,0.0786,0.642,99.962
31,Hero,Skillet,4CbKVDZkYKdv69I4bCaKUq,spotify:track:4CbKVDZkYKdv69I4bCaKUq,3.11,73,0.533,0.967,1,-2.543,0.0995,0.00791,0.0,0.336,0.782,142.018
32,Saviors of the World,Skillet,63M0g37HTmkOEKQYiPali5,spotify:track:63M0g37HTmkOEKQYiPali5,3.77,36,0.521,0.93,0,-4.219,0.0578,0.000584,0.00119,0.264,0.338,130.039
33,I Am An Outsider,Three Days Grace,2wcwbcUmCgB2dt8Pm3o231,spotify:track:2wcwbcUmCgB2dt8Pm3o231,2.7,0,0.436,0.902,0,-4.861,0.0517,0.00125,0.0,0.347,0.53,171.997
34,End of Me,Ashes Remain,3tfTwukbzAVanIvsYeIEmj,spotify:track:3tfTwukbzAVanIvsYeIEmj,2.84,0,0.59,0.823,5,-4.606,0.0394,0.00187,0.0,0.375,0.571,129.969
35,For the Glory,All Good Things,3B9fSgViwhIqsVa7W9NVZK,spotify:track:3B9fSgViwhIqsVa7W9NVZK,4.77,0,0.486,0.866,2,-4.711,0.0626,0.000173,1.31e-06,0.0892,0.493,138.08
36,Playing God,Polyphia,3nBGFgfRQ8ujSmu5cGlZIU,spotify:track:3nBGFgfRQ8ujSmu5cGlZIU,3.43,69,0.601,0.789,4,-6.822,0.0328,0.0395,0.812,0.114,0.315,137.06
37,G.O.A.T.,Polyphia,0maCwhZTO3PybhSiQcsjAf,spotify:track:0maCwhZTO3PybhSiQcsjAf,3.6,58,0.66,0.76,11,-5.488,0.0332,0.000601,0.312,0.0949,0.359,107.028
38,Butterflies,Samsa,6kVku2CoE7fbD29miiutzw,spotify:track:6kVku2CoE7fbD29miiutzw,3.32,0,0.54,0.744,1,-10.942,0.405,0.307,8.95e-05,0.103,0.925,92.207
39,Solo,Samsa,4XOlo2K3XX1ICy1KfEiWyO,spotify:track:4XOlo2K3XX1ICy1KfEiWyO,3.47,0,0.526,0.525,0,-12.345,0.26,0.712,0.000148,0.139,0.66,73.731
40,Slow Dancing in a Burning Room,John Mayer,2jdAk8ATWIL3dwT47XpRfu,spotify:track:2jdAk8ATWIL3dwT47XpRfu,4.03,75,0.667,0.361,1,-8.69,0.0273,0.575,0.00506,0.0805,0.29,134.018
